iter	Passed	Remaining
149	39434	144591
150	39745	144505
151	39992	144183
152	40249	143900
153	40524	143677
154	40793	143434
155	41038	143107
156	41296	142829
157	41571	142604
158	41827	142319
159	42090	142054
160	42346	141769
161	42395	140795
162	42637	140469
163	42914	140257
164	43154	139923
165	43389	139576
166	43636	139271
167	43924	139093
168	44177	138805
169	44443	138560
170	44694	138265
171	44973	138059
172	45229	137780
173	45503	137556
174	45752	137258
175	46026	137032
176	46297	136800
177	46548	136506
178	46804	136229
179	46837	135309
180	47093	135035
181	47349	134763
182	47589	134447
183	47851	134193
184	48129	133983
185	48409	133777
186	48668	133514
187	48910	133202
188	49169	132938
189	49446	132725
190	49801	132716
191	50064	132462
192	50319	132187
193	50623	132037
194	50902	131825
195	51138	131498
196	51409	131264
197	51677	131021
198	51955	130802
199	52214	130536
200	52481	130288
201	52763	130080
202	53022	129813
203	53286	129558
204	53558	129323
205	53826	129079
206	54096	128838
207	54352	128565
208	54636	128356
209	54920	128147
210	55161	127837
211	55413	127555
212	55689	127328
213	55926	127011
214	56179	126729
215	56452	126495
216	56716	126239
217	56974	125971
218	57259	125762
219	57503	125461
220	57760	125191
221	58011	124907
222	58381	124878
223	58654	124640
224	58925	124398
225	59207	124178
226	59516	124014
227	59772	123739
228	60070	123551
229	60374	123373
230	60611	123058
231	60882	122814
232	61186	122636
233	61432	122339
234	61710	122108
235	62001	121901
236	62279	121668
237	62547	121416
238	62816	121164
239	63083	120909
240	63366	120686
241	63638	120440
242	63910	120193
243	64199	119978
244	64460	119713
245	64739	119478
246	65033	119271
247	65315	119043
248	65614	118844
249	65885	118593
250	66157	118345
251	66413	118068
252	66666	117786
253	66920	117506
254	67225	117314
255	67489	117052
256	67749	116782
257	68035	116557
258	68360	116398
259	68609	116109
260	68884	115863
261	69141	115587
262	69395	115307
263	69719	115142
264	69992	114892
265	70298	114697
266	70589	114476
267	70855	114214
268	71155	114007
269	71417	113739
270	71679	113470
271	71950	113215
272	72208	112941
273	72512	112738
274	72790	112495
275	73058	112234
276	73315	111957
277	73580	111694
278	73855	111445
279	74121	111182
280	74378	110905
281	74626	110616
282	74893	110354
283	75143	110068
284	75409	109806
285	75694	109571
286	75957	109304
287	76232	109055
288	76498	108791
289	76777	108547
290	77031	108266
291	77301	108010
292	77540	107709
293	77826	107474
294	78126	107258
295	78442	107062
296	78709	106801
297	78975	106537
298	79254	106291
299	79534	106045
300	79815	105801
301	80079	105534
302	80380	105316
303	80663	105074
304	80931	104812
305	81197	104547
306	81430	104242
307	81695	103976
308	81950	103697
309	82215	103432
310	82461	103143
311	82723	102874
312	82992	102614
313	83271	102365
314	83664	102257
315	83945	102010
316	84198	101728
317	84464	101463
318	84723	101190
319	84976	100909
320	85245	100648
321	85488	100355
322	85744	100080
323	86017	99822
324	86276	99549
325	86529	99269
326	86824	99037
327	87117	98803
328	87399	98557
329	87662	98288
330	87927	98022
331	88327	97904
332	88618	97666
333	88883	97399
334	89157	97141
335	89487	96944
336	89823	96753
337	90133	96533
338	90419	96287
339	90671	96004
340	90937	95737
341	91246	95515
342	91569	95307
343	91844	95048
344	92092	94762
345	92368	94504
346	92615	94216
347	92871	93938
348	93152	93686
349	93423	93423
350	93680	93146
351	93944	92876
352	94201	92600
353	94443	92309
354	94711	92043
355	94983	91781
356	95260	91524
357	95516	91247
358	95780	90977
359	96049	90713
360	96313	90444
361	96593	90189
362	96860	89923
363	97138	89666
364	97400	89394
365	97658	89119
366	97933	88860
367	98270	88657
368	98512	88367
369	98774	88095
370	99050	87837
371	99327	87578
372	99640	87352
373	99904	87082
374	100169	86813
375	100486	86589
376	100765	86332
377	101031	86064
378	101324	85818
379	101618	85573
380	101877	85299
381	102157	85042
382	102428	84777
383	102700	84513
384	102961	84241
385	103211	83959
386	103474	83688
387	103735	83416
388	103959	83114
389	104216	82838
390	104483	82571
391	104749	82303
392	105023	82040
393	105303	81783
394	105549	81500
395	105813	81230
396	106062	80949
397	106330	80683
398	106576	80400
399	106839	80129
400	107113	79867
401	107415	79626
402	107715	79383
403	107979	79113
404	108334	78910
405	108590	78634
406	108856	78365
407	109107	78086
408	109394	77833
409	109738	77619
410	110007	77353
411	110291	77096
412	110557	76827
413	110835	76567
414	111101	76298
415	111360	76024
416	111610	75745
417	111893	75488
418	112137	75204
419	112400	74933
420	112651	74655
421	112916	74385
422	113167	74107
423	113424	73832
424	113700	73570
425	113967	73303
426	114237	73036
427	114464	72744
428	114732	72476
429	114986	72200
430	115254	71934
431	115511	71659
432	115792	71400
433	116030	71115
434	116297	70847
435	116578	70588
436	116850	70324
437	117103	70048
438	117380	69786
439	117646	69518
440	117903	69245
441	118217	69004
442	118536	68767
443	118825	68511
444	119101	68249
445	119388	67992
446	119688	67743
447	119954	67474
448	120200	67194
449	120479	66932
450	120715	66647
451	120989	66383
452	121228	66100
453	121500	65835
454	121774	65570
455	122068	65317
456	122327	65044
457	122602	64781
458	122873	64515
459	123133	64243
460	123402	63976
461	123648	63697
462	123897	63420
463	124158	63149
464	124433	62885
465	124684	62609
466	124941	62336
467	125217	62073
468	125534	61830
469	125813	61568
470	126065	61293
471	126328	61023
472	126593	60754
473	126853	60482
474	127154	60230
475	127406	59955
476	127684	59693
477	127936	59418
478	128273	59182
479	128528	58908
480	128803	58644
481	129081	58381
482	129360	58118
483	129702	57883
484	129989	57624
485	130261	57358
486	130562	57104
487	130842	56841
488	131120	56577
489	131383	56307
490	131636	56032
491	131871	55750
492	132149	55486
493	132410	55215
494	132676	54946
495	132951	54681
496	133217	54412
497	133480	54142
498	133761	53879
499	134013	53605
500	134281	53337
501	134551	53070
502	134820	52802
503	135088	52534
504	135376	52273
505	135636	52003
506	135907	51735
507	136154	51459
508	136416	51189
509	136694	50925
510	136973	50661
511	137223	50386
512	137487	50117
513	137768	49853
514	138016	49578
515	138393	49349
516	138655	49079
517	138892	48800
518	139167	48534
519	139449	48271
520	139793	48028
521	140058	47759
522	140312	47486
523	140617	47230
524	140890	46963
525	141176	46701
526	141447	46433
527	141699	46159
528	141959	45888
529	142230	45621
530	142485	45348
531	142749	45078
532	142995	44803
533	143244	44529
534	143494	44255
535	143769	43989
536	144024	43716
537	144271	43442
538	144527	43170
539	144805	42905
540	145057	42632
541	145334	42366
542	145595	42096
543	145844	41822
544	146100	41551
545	146370	41284
546	146654	41020
547	146922	40752
548	147204	40487
549	147475	40220
550	147731	39949
551	147995	39679
552	148363	39438
553	148616	39166
554	148890	38899
555	149154	38629
556	149434	38364
557	149798	38120
558	150068	37852
559	150342	37585
560	150630	37321
561	150889	37051
562	151142	36778
563	151398	36507
564	151667	36239
565	151932	35969
566	152197	35700
567	152454	35429
568	152728	35162
569	152998	34894
570	153260	34624
571	153514	34352
572	153775	34082
573	154018	33809
574	154265	33535
575	154518	33264
576	154796	32998
577	155055	32727
578	155284	32451
579	155533	32179
580	155798	31910
581	156067	31642
582	156334	31374
583	156581	31101
584	156830	30830
585	157114	30564
586	157387	30297
587	157660	30030
588	157955	29767
589	158296	29512
590	158567	29245
591	158843	28978
592	159102	28708
593	159347	28435
594	159620	28168
595	159910	27903
596	160179	27635
597	160455	27368
598	160737	27102
599	161013	26835
600	161280	26566
601	161546	26298
602	161835	26033
603	162173	25775
604	162456	25509
605	162700	25237
606	162963	24967
607	163219	24697
608	163492	24429
609	163773	24163
610	164051	23896
611	164336	23630
612	164572	23356
613	164842	23088
614	165162	22827
615	165440	22560
616	165713	22292
617	165991	22024
618	166315	21763
619	166595	21496
620	166880	21229
621	167164	20962
622	167426	20693
623	167710	20426
624	167964	20155
625	168342	19899
626	168604	19630
627	168899	19364
628	169183	19097
629	169424	18824
630	169765	18563
631	170047	18296
632	170326	18028
633	170591	17758
634	170899	17493
635	171184	17226
636	171444	16956
637	171721	16687
638	172005	16419
639	172284	16151
640	172547	15881
641	172801	15611
642	173077	15342
643	173349	15073
644	173601	14803
645	173868	14533
646	174139	14264
647	174405	13995
648	174670	13726
649	174935	13456
650	175193	13186
651	175446	12916
652	175714	12647
653	175972	12377
654	176204	12105
655	176483	11837
656	176746	11567
657	177006	11298
658	177296	11030
659	177560	10761
660	177845	10493
661	178074	10221
662	178440	9958
663	178684	9687
664	178986	9420
665	179259	9151
666	179538	8882
667	179853	8615
668	180129	8346
669	180408	8077
670	180680	7808
671	180996	7541
672	181264	7272
673	181541	7003
674	181824	6734
675	182112	6465
676	182392	6196
677	182667	5927
678	182941	5657
679	183187	5387
680	183467	5118
681	183738	4849
682	184015	4580
683	184266	4310
684	184521	4040
685	184788	3771
686	185050	3501
687	185334	3232
688	185633	2963
689	185993	2695
690	186329	2426
691	186630	2157
692	186939	1888
693	187220	1618
694	187499	1348
695	187779	1079
696	188062	809
697	188411	539
698	188696	269
699	188966	0
